indicador_id,indicador,recorte,fonte,arquivo_tabela,caminho,campos,ano_periodo,unidade,numerador,denominador,cobertura_municipal,municipios_com_dado,tamanho_minimo_grupo,tratamento_ausencia,compatibilidade_indicador_principal,benchmark_estadual,comparacao_pares,risco_identificacao_instabilidade,categoria_uso_recomendado,uso_recomendado,status_p4b
basico_integral,Alunos do público-alvo da ETI em jornada integral na rede pública,dependencia_administrativa,INEP — Censo Escolar / Sinopse Estatística; painel educacional municipal já exportado,censo; matriculas_basico_integral_por_dependencia.sql,/data/educacao/municipios/{id}.json#blocos.matriculas.detalhamentos.tempo_integral_por_rede,"ano, dependencia, matriculas_integral, matriculas_total, percentual_integral",2014–2025,percentual,matriculas_integral,matriculas_total,497/497,497,1; mínimo positivo 1; 0 células com zero explícito,null permanece ausente; grupos ausentes não são convertidos em zero; zeros explícitos são preservados como publicados pela fonte,compatível após filtrar federal/estadual/municipal e excluir privada e o agregado publica para evitar dupla contagem,calculável por soma dos numeradores e denominadores no mesmo ano e recorte,"calculável com a mesma fórmula, ano e dependência","agregado municipal, sem identificador individual; células pequenas e muitos zeros exigem supressão e aviso de instabilidade",governabilidade,decomposição de responsabilidade de rede; não comparar células abaixo do limiar,eligible_after_cell_threshold
basico_integral,Alunos do público-alvo da ETI em jornada integral na rede pública,urbano_rural,INEP — Censo Escolar / Sinopse Estatística; painel educacional municipal já exportado,censo,/data/educacao/municipios/{id}.json#blocos.matriculas.detalhamentos.por_rede_localizacao,"ano, dependencia, localizacao, matriculas_integral, matriculas, percentual_integral",2014–2025,percentual,soma de matriculas_integral nas dependências públicas,soma de matriculas nas dependências públicas,497/497,497,1; mínimo positivo 1; 0 células com zero explícito,null permanece ausente; grupos ausentes não são convertidos em zero; zeros explícitos são preservados como publicados pela fonte,compatível com o indicador principal quando o filtro público e a agregação por localização são aplicados no mesmo ano,calculável por soma dos componentes no mesmo ano e localização,"calculável com fórmula, ano, rede pública e localização idênticos","agregado municipal, sem identificador individual; células pequenas e muitos zeros exigem supressão e aviso de instabilidade",desigualdade,"piloto estreito de desigualdade territorial urbano/rural, com supressão de células pequenas",recommended_pilot
basico_integral,Alunos do público-alvo da ETI em jornada integral na rede pública,etapa,INEP — Censo Escolar / Sinopse Estatística; painel educacional municipal já exportado,censo,/data/educacao/municipios/{id}.json#blocos.matriculas.detalhamentos.tempo_integral_por_etapa_rede,"ano, etapa_ensino, dependencia, matriculas_integral, matriculas_total, percentual_integral",2014–2025,percentual,matriculas_integral,matriculas_total,497/497,497,1; mínimo positivo 1; 0 células com zero explícito,null permanece ausente; grupos ausentes não são convertidos em zero; zeros explícitos são preservados como publicados pela fonte,compatível após filtrar e agregar apenas as dependências públicas no mesmo ano e etapa,calculável por soma dos componentes,"calculável com mesma etapa, fórmula e ano","agregado municipal, sem identificador individual; células pequenas e muitos zeros exigem supressão e aviso de instabilidade",desigualdade,diagnóstico por etapa após controle de células pequenas,eligible_after_cell_threshold
creche,População de 0 a 3 anos que frequenta a escola/creche,dependencia_administrativa,INEP — Censo Escolar + população municipal por idade; contrato diagnóstico P3-C,censo; matriculas_creche_por_dependencia.sql,/data/municipios/{id}/diagnostico.json#indicators[].municipalExposure,"ano, dependencia, numerador de matrículas; denominador populacional municipal sem dependência",não aferido; PostgreSQL local indisponível,percentual/contribuição,matrículas por dependência,população residente total da faixa etária,0/497,0,não aferido,null permanece ausente; grupos ausentes não são convertidos em zero; zeros explícitos são preservados como publicados pela fonte,"parcial: o numerador é decomponível, mas o denominador populacional não pertence a uma dependência; não interpretar cada parcela como taxa de cobertura da rede",não comparável como taxa por dependência sem definição de contribuição,"somente como participação do numerador, nunca como cobertura por rede","agregado municipal, sem identificador individual; células pequenas e muitos zeros exigem supressão e aviso de instabilidade",governabilidade,contexto de exposição/governabilidade; não usar como desigualdade de atendimento,not_recommended
pre_escola,População de 4 a 5 anos que frequenta a escola/creche,dependencia_administrativa,INEP — Censo Escolar + população municipal por idade; contrato diagnóstico P3-C,censo; matriculas_pre_escola_por_dependencia.sql,/data/municipios/{id}/diagnostico.json#indicators[].municipalExposure,"ano, dependencia, numerador de matrículas; denominador populacional municipal sem dependência",não aferido; PostgreSQL local indisponível,percentual/contribuição,matrículas por dependência,população residente total da faixa etária,0/497,0,não aferido,null permanece ausente; grupos ausentes não são convertidos em zero; zeros explícitos são preservados como publicados pela fonte,"parcial: o numerador é decomponível, mas o denominador populacional não pertence a uma dependência; não interpretar cada parcela como taxa de cobertura da rede",não comparável como taxa por dependência sem definição de contribuição,"somente como participação do numerador, nunca como cobertura por rede","agregado municipal, sem identificador individual; células pequenas e muitos zeros exigem supressão e aviso de instabilidade",governabilidade,contexto de exposição/governabilidade; não usar como desigualdade de atendimento,not_recommended
basico_6_17,População de 6 a 17 anos que frequenta a educação básica,dependencia_administrativa,INEP — Censo Escolar + população municipal por idade; contrato diagnóstico P3-C,censo; matriculas_basico_6_17_por_dependencia.sql,/data/municipios/{id}/diagnostico.json#indicators[].municipalExposure,"ano, dependencia, numerador de matrículas; denominador populacional municipal sem dependência",não aferido; PostgreSQL local indisponível,percentual/contribuição,matrículas por dependência,população residente total da faixa etária,0/497,0,não aferido,null permanece ausente; grupos ausentes não são convertidos em zero; zeros explícitos são preservados como publicados pela fonte,"parcial: o numerador é decomponível, mas o denominador populacional não pertence a uma dependência; não interpretar cada parcela como taxa de cobertura da rede",não comparável como taxa por dependência sem definição de contribuição,"somente como participação do numerador, nunca como cobertura por rede","agregado municipal, sem identificador individual; células pequenas e muitos zeros exigem supressão e aviso de instabilidade",governabilidade,contexto de exposição/governabilidade; não usar como desigualdade de atendimento,not_recommended
basico_15_17,Matrículas da educação básica de estudantes de 15 a 17 anos em relação à população da faixa,dependencia_administrativa,INEP — Censo Escolar + população municipal por idade; contrato diagnóstico P3-C,censo; matriculas_basico_15_17_por_dependencia.sql,/data/municipios/{id}/diagnostico.json#indicators[].municipalExposure,"ano, dependencia, numerador de matrículas; denominador populacional municipal sem dependência",não aferido; PostgreSQL local indisponível,percentual/contribuição,matrículas por dependência,população residente total da faixa etária,0/497,0,não aferido,null permanece ausente; grupos ausentes não são convertidos em zero; zeros explícitos são preservados como publicados pela fonte,"parcial: o numerador é decomponível, mas o denominador populacional não pertence a uma dependência; não interpretar cada parcela como taxa de cobertura da rede",não comparável como taxa por dependência sem definição de contribuição,"somente como participação do numerador, nunca como cobertura por rede","agregado municipal, sem identificador individual; células pequenas e muitos zeros exigem supressão e aviso de instabilidade",governabilidade,contexto de exposição/governabilidade; não usar como desigualdade de atendimento,not_recommended
creche,População de 0 a 3 anos que frequenta a escola/creche,urbano_rural,INEP — Censo Escolar / Sinopse Estatística; painel educacional municipal já exportado,censo,/data/educacao/municipios/{id}.json#blocos.matriculas.detalhamentos.por_etapa_localizacao,"ano, etapa_ensino, localizacao, matriculas",2014–2025,matrículas,matrículas por etapa e localização da escola,indisponível: população residente por faixa etária e localização,497/497,497,0; mínimo positivo 1; 23267 células com zero explícito,null permanece ausente; grupos ausentes não são convertidos em zero; zeros explícitos são preservados como publicados pela fonte,incompatível como taxa principal: localização da escola não substitui localização de residência e falta o denominador populacional equivalente,"somente contagem de matrículas, não taxa comparável",não recomendado sem denominador residente urbano/rural,"agregado municipal, sem identificador individual; células pequenas e muitos zeros exigem supressão e aviso de instabilidade",contexto,contexto de oferta; não calcular lacuna ou cobertura,not_recommended
creche,População de 0 a 3 anos que frequenta a escola/creche,raca_cor,INEP — Censo Escolar / Sinopse Estatística; painel educacional municipal já exportado,censo,/data/educacao/municipios/{id}.json#blocos.matriculas.detalhamentos.por_etapa_cor_raca,"ano, etapa_ensino, cor_raca, matriculas",2014–2025,matrículas,matrículas por etapa e raça/cor declarada,indisponível: população residente da mesma idade e raça/cor,497/497,497,0; mínimo positivo 1; 93416 células com zero explícito,null permanece ausente; grupos ausentes não são convertidos em zero; zeros explícitos são preservados como publicados pela fonte,incompatível como taxa principal; há apenas o numerador escolar e categoria não declarada deve permanecer explícita,somente distribuição de matrículas,não recomendado sem denominador compatível e limiar de célula,"agregado municipal, sem identificador individual; células pequenas e muitos zeros exigem supressão e aviso de instabilidade",contexto,auditoria de completude da declaração e composição das matrículas,not_recommended
pre_escola,População de 4 a 5 anos que frequenta a escola/creche,urbano_rural,INEP — Censo Escolar / Sinopse Estatística; painel educacional municipal já exportado,censo,/data/educacao/municipios/{id}.json#blocos.matriculas.detalhamentos.por_etapa_localizacao,"ano, etapa_ensino, localizacao, matriculas",2014–2025,matrículas,matrículas por etapa e localização da escola,indisponível: população residente por faixa etária e localização,497/497,497,0; mínimo positivo 1; 23267 células com zero explícito,null permanece ausente; grupos ausentes não são convertidos em zero; zeros explícitos são preservados como publicados pela fonte,incompatível como taxa principal: localização da escola não substitui localização de residência e falta o denominador populacional equivalente,"somente contagem de matrículas, não taxa comparável",não recomendado sem denominador residente urbano/rural,"agregado municipal, sem identificador individual; células pequenas e muitos zeros exigem supressão e aviso de instabilidade",contexto,contexto de oferta; não calcular lacuna ou cobertura,not_recommended
pre_escola,População de 4 a 5 anos que frequenta a escola/creche,raca_cor,INEP — Censo Escolar / Sinopse Estatística; painel educacional municipal já exportado,censo,/data/educacao/municipios/{id}.json#blocos.matriculas.detalhamentos.por_etapa_cor_raca,"ano, etapa_ensino, cor_raca, matriculas",2014–2025,matrículas,matrículas por etapa e raça/cor declarada,indisponível: população residente da mesma idade e raça/cor,497/497,497,0; mínimo positivo 1; 93416 células com zero explícito,null permanece ausente; grupos ausentes não são convertidos em zero; zeros explícitos são preservados como publicados pela fonte,incompatível como taxa principal; há apenas o numerador escolar e categoria não declarada deve permanecer explícita,somente distribuição de matrículas,não recomendado sem denominador compatível e limiar de célula,"agregado municipal, sem identificador individual; células pequenas e muitos zeros exigem supressão e aviso de instabilidade",contexto,auditoria de completude da declaração e composição das matrículas,not_recommended
escolas_integral,Escolas públicas com alunos em jornada de tempo integral,dependencia_administrativa,INEP — Censo Escolar; contrato diagnóstico P3-C,censo_escolas; escolas_integral_por_dependencia.sql,/data/municipios/{id}/diagnostico.json#indicators[].municipalExposure,"ano, dependencia, escolas_publicas_com_integral, escolas_publicas_total",2025–2025,percentual,escolas públicas com pelo menos 25% das matrículas em tempo integral,escolas públicas com matrícula básica e dado de integral,484/497,484,1; mínimo positivo 1; 0 células com zero explícito,null permanece ausente; grupos ausentes não são convertidos em zero; zeros explícitos são preservados como publicados pela fonte,compatível por dependência pública; o agregado pública não deve ser somado novamente aos componentes,calculável por soma dos componentes,"calculável com mesma regra de 25%, ano e dependência","agregado municipal, sem identificador individual; alta instabilidade e possível exposição de escola única quando a célula é pequena",governabilidade,decomposição por rede com limiar mínimo de escolas,eligible_after_cell_threshold
internet,Escolas da educação básica com acesso à internet,dependencia_administrativa,INEP — Censo Escolar / Sinopse Estatística; painel educacional municipal já exportado,censo; infraestrutura_escolar_por_dependencia.sql / agregação por localização,/data/educacao/municipios/{id}.json#blocos.rede_escolar.infraestrutura.por_rede,"ano, dependencia, escolas, perc_internet",2014–2025,percentual,escolas com a característica; não publicado no JSON segmentado,escolas no grupo,497/497,497,1; mínimo positivo 1; 0 células com zero explícito,null permanece ausente; grupos ausentes não são convertidos em zero; zeros explícitos são preservados como publicados pela fonte,compatível em definição; o percentual publicado é arredondado e deve ser recalculado com contagens brutas para benchmark,não agregar percentuais arredondados; recalcular nas tabelas de origem com numerador e denominador,"possível após materializar contagens brutas, mesmo ano e recorte","agregado municipal, sem identificador individual; alta instabilidade e possível exposição de escola única quando a célula é pequena",investigação,"exploração descritiva; sem ação, ranking ou comparação até aplicar contagens brutas e limiar",not_recommended
internet,Escolas da educação básica com acesso à internet,urbano_rural,INEP — Censo Escolar / Sinopse Estatística; painel educacional municipal já exportado,censo; infraestrutura_escolar_por_dependencia.sql / agregação por localização,/data/educacao/municipios/{id}.json#blocos.rede_escolar.infraestrutura.por_localizacao,"ano, localizacao, escolas, perc_internet",2014–2025,percentual,escolas com a característica; não publicado no JSON segmentado,escolas no grupo,497/497,497,1; mínimo positivo 1; 0 células com zero explícito,null permanece ausente; grupos ausentes não são convertidos em zero; zeros explícitos são preservados como publicados pela fonte,compatível em definição; o percentual publicado é arredondado e deve ser recalculado com contagens brutas para benchmark,não agregar percentuais arredondados; recalcular nas tabelas de origem com numerador e denominador,"possível após materializar contagens brutas, mesmo ano e recorte","agregado municipal, sem identificador individual; alta instabilidade e possível exposição de escola única quando a célula é pequena",investigação,"exploração descritiva; sem ação, ranking ou comparação até aplicar contagens brutas e limiar",not_recommended
internet_alunos,Escolas com internet disponível para os alunos,dependencia_administrativa,INEP — Censo Escolar / Sinopse Estatística; painel educacional municipal já exportado,censo; infraestrutura_escolar_por_dependencia.sql / agregação por localização,/data/educacao/municipios/{id}.json#blocos.rede_escolar.infraestrutura.por_rede,"ano, dependencia, escolas, perc_internet_alunos",2014–2025,percentual,escolas com a característica; não publicado no JSON segmentado,escolas no grupo,497/497,497,1; mínimo positivo 1; 0 células com zero explícito,null permanece ausente; grupos ausentes não são convertidos em zero; zeros explícitos são preservados como publicados pela fonte,compatível em definição; o percentual publicado é arredondado e deve ser recalculado com contagens brutas para benchmark,não agregar percentuais arredondados; recalcular nas tabelas de origem com numerador e denominador,"possível após materializar contagens brutas, mesmo ano e recorte","agregado municipal, sem identificador individual; alta instabilidade e possível exposição de escola única quando a célula é pequena",investigação,"exploração descritiva; sem ação, ranking ou comparação até aplicar contagens brutas e limiar",not_recommended
internet_alunos,Escolas com internet disponível para os alunos,urbano_rural,INEP — Censo Escolar / Sinopse Estatística; painel educacional municipal já exportado,censo; infraestrutura_escolar_por_dependencia.sql / agregação por localização,/data/educacao/municipios/{id}.json#blocos.rede_escolar.infraestrutura.por_localizacao,"ano, localizacao, escolas, perc_internet_alunos",2014–2025,percentual,escolas com a característica; não publicado no JSON segmentado,escolas no grupo,497/497,497,1; mínimo positivo 1; 0 células com zero explícito,null permanece ausente; grupos ausentes não são convertidos em zero; zeros explícitos são preservados como publicados pela fonte,compatível em definição; o percentual publicado é arredondado e deve ser recalculado com contagens brutas para benchmark,não agregar percentuais arredondados; recalcular nas tabelas de origem com numerador e denominador,"possível após materializar contagens brutas, mesmo ano e recorte","agregado municipal, sem identificador individual; alta instabilidade e possível exposição de escola única quando a célula é pequena",investigação,"exploração descritiva; sem ação, ranking ou comparação até aplicar contagens brutas e limiar",not_recommended
internet_aprendizagem,Escolas com internet usada na aprendizagem,dependencia_administrativa,INEP — Censo Escolar / Sinopse Estatística; painel educacional municipal já exportado,censo; infraestrutura_escolar_por_dependencia.sql / agregação por localização,/data/educacao/municipios/{id}.json#blocos.rede_escolar.infraestrutura.por_rede,"ano, dependencia, escolas, perc_internet_aprendizagem",2014–2025,percentual,escolas com a característica; não publicado no JSON segmentado,escolas no grupo,497/497,497,1; mínimo positivo 1; 0 células com zero explícito,null permanece ausente; grupos ausentes não são convertidos em zero; zeros explícitos são preservados como publicados pela fonte,compatível em definição; o percentual publicado é arredondado e deve ser recalculado com contagens brutas para benchmark,não agregar percentuais arredondados; recalcular nas tabelas de origem com numerador e denominador,"possível após materializar contagens brutas, mesmo ano e recorte","agregado municipal, sem identificador individual; alta instabilidade e possível exposição de escola única quando a célula é pequena",investigação,"exploração descritiva; sem ação, ranking ou comparação até aplicar contagens brutas e limiar",not_recommended
internet_aprendizagem,Escolas com internet usada na aprendizagem,urbano_rural,INEP — Censo Escolar / Sinopse Estatística; painel educacional municipal já exportado,censo; infraestrutura_escolar_por_dependencia.sql / agregação por localização,/data/educacao/municipios/{id}.json#blocos.rede_escolar.infraestrutura.por_localizacao,"ano, localizacao, escolas, perc_internet_aprendizagem",2014–2025,percentual,escolas com a característica; não publicado no JSON segmentado,escolas no grupo,497/497,497,1; mínimo positivo 1; 0 células com zero explícito,null permanece ausente; grupos ausentes não são convertidos em zero; zeros explícitos são preservados como publicados pela fonte,compatível em definição; o percentual publicado é arredondado e deve ser recalculado com contagens brutas para benchmark,não agregar percentuais arredondados; recalcular nas tabelas de origem com numerador e denominador,"possível após materializar contagens brutas, mesmo ano e recorte","agregado municipal, sem identificador individual; alta instabilidade e possível exposição de escola única quando a célula é pequena",investigação,"exploração descritiva; sem ação, ranking ou comparação até aplicar contagens brutas e limiar",not_recommended
internet_comunidade,Escolas com internet aberta à comunidade,dependencia_administrativa,INEP — Censo Escolar / Sinopse Estatística; painel educacional municipal já exportado,censo; infraestrutura_escolar_por_dependencia.sql / agregação por localização,/data/educacao/municipios/{id}.json#blocos.rede_escolar.infraestrutura.por_rede,"ano, dependencia, escolas, perc_internet_comunidade",2014–2025,percentual,escolas com a característica; não publicado no JSON segmentado,escolas no grupo,497/497,497,1; mínimo positivo 1; 0 células com zero explícito,null permanece ausente; grupos ausentes não são convertidos em zero; zeros explícitos são preservados como publicados pela fonte,compatível em definição; o percentual publicado é arredondado e deve ser recalculado com contagens brutas para benchmark,não agregar percentuais arredondados; recalcular nas tabelas de origem com numerador e denominador,"possível após materializar contagens brutas, mesmo ano e recorte","agregado municipal, sem identificador individual; alta instabilidade e possível exposição de escola única quando a célula é pequena",investigação,"exploração descritiva; sem ação, ranking ou comparação até aplicar contagens brutas e limiar",not_recommended
internet_comunidade,Escolas com internet aberta à comunidade,urbano_rural,INEP — Censo Escolar / Sinopse Estatística; painel educacional municipal já exportado,censo; infraestrutura_escolar_por_dependencia.sql / agregação por localização,/data/educacao/municipios/{id}.json#blocos.rede_escolar.infraestrutura.por_localizacao,"ano, localizacao, escolas, perc_internet_comunidade",2014–2025,percentual,escolas com a característica; não publicado no JSON segmentado,escolas no grupo,497/497,497,1; mínimo positivo 1; 0 células com zero explícito,null permanece ausente; grupos ausentes não são convertidos em zero; zeros explícitos são preservados como publicados pela fonte,compatível em definição; o percentual publicado é arredondado e deve ser recalculado com contagens brutas para benchmark,não agregar percentuais arredondados; recalcular nas tabelas de origem com numerador e denominador,"possível após materializar contagens brutas, mesmo ano e recorte","agregado municipal, sem identificador individual; alta instabilidade e possível exposição de escola única quando a célula é pequena",investigação,"exploração descritiva; sem ação, ranking ou comparação até aplicar contagens brutas e limiar",not_recommended
acesso_internet_computador,Escolas com acesso dos alunos à internet por computador,dependencia_administrativa,INEP — Censo Escolar / Sinopse Estatística; painel educacional municipal já exportado,censo; infraestrutura_escolar_por_dependencia.sql / agregação por localização,/data/educacao/municipios/{id}.json#blocos.rede_escolar.infraestrutura.por_rede,"ano, dependencia, escolas, perc_acesso_internet_computador",2014–2025,percentual,escolas com a característica; não publicado no JSON segmentado,escolas no grupo,497/497,497,1; mínimo positivo 1; 0 células com zero explícito,null permanece ausente; grupos ausentes não são convertidos em zero; zeros explícitos são preservados como publicados pela fonte,compatível em definição; o percentual publicado é arredondado e deve ser recalculado com contagens brutas para benchmark,não agregar percentuais arredondados; recalcular nas tabelas de origem com numerador e denominador,"possível após materializar contagens brutas, mesmo ano e recorte","agregado municipal, sem identificador individual; alta instabilidade e possível exposição de escola única quando a célula é pequena",investigação,"exploração descritiva; sem ação, ranking ou comparação até aplicar contagens brutas e limiar",not_recommended
acesso_internet_computador,Escolas com acesso dos alunos à internet por computador,urbano_rural,INEP — Censo Escolar / Sinopse Estatística; painel educacional municipal já exportado,censo; infraestrutura_escolar_por_dependencia.sql / agregação por localização,/data/educacao/municipios/{id}.json#blocos.rede_escolar.infraestrutura.por_localizacao,"ano, localizacao, escolas, perc_acesso_internet_computador",2014–2025,percentual,escolas com a característica; não publicado no JSON segmentado,escolas no grupo,497/497,497,1; mínimo positivo 1; 0 células com zero explícito,null permanece ausente; grupos ausentes não são convertidos em zero; zeros explícitos são preservados como publicados pela fonte,compatível em definição; o percentual publicado é arredondado e deve ser recalculado com contagens brutas para benchmark,não agregar percentuais arredondados; recalcular nas tabelas de origem com numerador e denominador,"possível após materializar contagens brutas, mesmo ano e recorte","agregado municipal, sem identificador individual; alta instabilidade e possível exposição de escola única quando a célula é pequena",investigação,"exploração descritiva; sem ação, ranking ou comparação até aplicar contagens brutas e limiar",not_recommended
